Year,Type,Method,Group,Count,ParNums,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,avg,Quantile70_Group,High importance & High interaction,23,par74,par77,par83,par84,par89,par90,par92,par95,par106,par107,par110,par116,par118,par119,par172,par181,par193,par215,par218,par220,par221,par223,par225,,,,
2011,avg,Quantile70_Group,High importance & Low interaction,8,par86,par113,par157,par160,par163,par178,par182,par187,,,,,,,,,,,,,,,,,,,
2012,avg,Quantile70_Group,High importance & High interaction,26,par72,par77,par83,par89,par90,par92,par94,par95,par100,par106,par107,par112,par113,par118,par119,par163,par172,par181,par193,par215,par218,par219,par220,par221,par224,par225,
2012,avg,Quantile70_Group,High importance & Low interaction,6,par157,par160,par166,par178,par182,par187,,,,,,,,,,,,,,,,,,,,,
2013,avg,Quantile70_Group,High importance & High interaction,25,par72,par77,par83,par89,par90,par92,par94,par95,par102,par106,par107,par112,par113,par116,par118,par119,par172,par178,par181,par193,par218,par219,par220,par221,par225,,
2013,avg,Quantile70_Group,High importance & Low interaction,7,par47,par101,par160,par163,par175,par187,par190,,,,,,,,,,,,,,,,,,,,
2014,avg,Quantile70_Group,High importance & High interaction,24,par77,par89,par90,par92,par95,par107,par118,par119,par157,par163,par172,par181,par193,par213,par214,par215,par216,par218,par219,par220,par221,par223,par224,par225,,,
2014,avg,Quantile70_Group,High importance & Low interaction,8,par83,par116,par160,par166,par175,par178,par187,par190,,,,,,,,,,,,,,,,,,,
2015,avg,Quantile70_Group,High importance & High interaction,25,par72,par74,par77,par83,par89,par90,par94,par95,par102,par106,par107,par112,par113,par116,par118,par119,par175,par178,par181,par193,par218,par219,par220,par221,par225,,
2015,avg,Quantile70_Group,High importance & Low interaction,7,par92,par157,par160,par163,par166,par172,par187,,,,,,,,,,,,,,,,,,,,
2016,avg,Quantile70_Group,High importance & High interaction,24,par72,par77,par83,par89,par90,par92,par94,par95,par107,par112,par118,par119,par163,par172,par181,par193,par215,par218,par219,par220,par221,par223,par224,par225,,,
2016,avg,Quantile70_Group,High importance & Low interaction,8,par113,par157,par160,par166,par175,par178,par187,par190,,,,,,,,,,,,,,,,,,,
2017,avg,Quantile70_Group,High importance & High interaction,25,par72,par74,par77,par83,par89,par90,par92,par94,par95,par102,par106,par107,par112,par118,par119,par172,par181,par187,par193,par215,par218,par220,par221,par224,par225,,
2017,avg,Quantile70_Group,High importance & Low interaction,8,par116,par157,par160,par163,par166,par175,par178,par190,,,,,,,,,,,,,,,,,,,
2018,avg,Quantile70_Group,High importance & High interaction,26,par72,par77,par83,par89,par90,par92,par94,par95,par102,par106,par107,par112,par114,par118,par119,par172,par178,par181,par187,par193,par215,par218,par220,par221,par224,par225,
2018,avg,Quantile70_Group,High importance & Low interaction,7,par157,par160,par163,par166,par175,par190,par219,,,,,,,,,,,,,,,,,,,,
2019,avg,Quantile70_Group,High importance & High interaction,27,par72,par74,par77,par83,par86,par89,par90,par92,par94,par95,par102,par106,par107,par110,par114,par116,par118,par119,par172,par178,par181,par187,par193,par215,par218,par220,par221
2019,avg,Quantile70_Group,High importance & Low interaction,6,par113,par163,par175,par182,par190,par219,,,,,,,,,,,,,,,,,,,,,
2020,avg,Quantile70_Group,High importance & High interaction,25,par74,par77,par89,par90,par92,par95,par107,par113,par114,par116,par118,par119,par163,par172,par178,par181,par187,par193,par215,par216,par218,par220,par221,par224,par225,,
2020,avg,Quantile70_Group,High importance & Low interaction,7,par83,par86,par157,par160,par166,par182,par190,,,,,,,,,,,,,,,,,,,,
2011,max,Quantile70_Group,High importance & High interaction,27,par74,par77,par90,par92,par95,par116,par118,par119,par163,par172,par175,par178,par181,par182,par187,par190,par193,par194,par215,par218,par219,par220,par221,par222,par223,par224,par225
2011,max,Quantile70_Group,High importance & Low interaction,4,par157,par160,par166,par184,,,,,,,,,,,,,,,,,,,,,,,
2012,max,Quantile70_Group,High importance & High interaction,22,par77,par90,par92,par94,par95,par118,par119,par163,par172,par178,par181,par182,par193,par213,par218,par219,par220,par221,par222,par223,par224,par225,,,,,
2012,max,Quantile70_Group,High importance & Low interaction,7,par74,par157,par187,par190,par214,par215,par216,,,,,,,,,,,,,,,,,,,,
2013,max,Quantile70_Group,High importance & High interaction,25,par72,par74,par77,par89,par90,par92,par94,par95,par102,par106,par107,par112,par118,par119,par160,par172,par181,par193,par214,par215,par216,par220,par221,par223,par225,,
2013,max,Quantile70_Group,High importance & Low interaction,5,par116,par163,par178,par187,par219,,,,,,,,,,,,,,,,,,,,,,
2014,max,Quantile70_Group,High importance & High interaction,27,par74,par77,par92,par95,par118,par119,par175,par178,par179,par181,par182,par184,par187,par190,par193,par213,par214,par215,par216,par218,par219,par220,par221,par222,par223,par224,par225
2014,max,Quantile70_Group,High importance & Low interaction,2,par116,par172,,,,,,,,,,,,,,,,,,,,,,,,,
2015,max,Quantile70_Group,High importance & High interaction,25,par72,par74,par77,par83,par90,par92,par94,par95,par107,par112,par116,par118,par119,par175,par178,par181,par193,par218,par219,par220,par221,par222,par223,par224,par225,,
2015,max,Quantile70_Group,High importance & Low interaction,4,par89,par113,par172,par187,,,,,,,,,,,,,,,,,,,,,,,
2016,max,Quantile70_Group,High importance & High interaction,23,par77,par90,par92,par95,par119,par163,par172,par175,par178,par181,par190,par193,par213,par214,par215,par218,par219,par220,par221,par222,par223,par224,par225,,,,
2016,max,Quantile70_Group,High importance & Low interaction,5,par157,par160,par166,par187,par216,,,,,,,,,,,,,,,,,,,,,,
2017,max,Quantile70_Group,High importance & High interaction,23,par72,par77,par90,par92,par94,par95,par112,par118,par119,par181,par187,par193,par213,par214,par215,par218,par219,par220,par221,par222,par223,par224,par225,,,,
2017,max,Quantile70_Group,High importance & Low interaction,6,par89,par107,par116,par172,par178,par216,,,,,,,,,,,,,,,,,,,,,
2018,max,Quantile70_Group,High importance & High interaction,24,par72,par77,par92,par94,par95,par102,par106,par112,par118,par119,par178,par181,par182,par187,par193,par215,par218,par219,par220,par221,par222,par223,par224,par225,,,
2018,max,Quantile70_Group,High importance & Low interaction,4,par107,par157,par163,par172,,,,,,,,,,,,,,,,,,,,,,,
2019,max,Quantile70_Group,High importance & High interaction,26,par72,par77,par90,par92,par95,par114,par118,par119,par163,par178,par181,par182,par187,par190,par193,par194,par215,par216,par218,par219,par220,par221,par222,par223,par224,par225,
2019,max,Quantile70_Group,High importance & Low interaction,5,par107,par116,par157,par160,par172,,,,,,,,,,,,,,,,,,,,,,
2020,max,Quantile70_Group,High importance & High interaction,25,par74,par77,par90,par95,par119,par163,par172,par175,par178,par181,par182,par187,par190,par191,par193,par194,par215,par218,par219,par220,par221,par222,par223,par224,par225,,
2020,max,Quantile70_Group,High importance & Low interaction,3,par92,par116,par184,,,,,,,,,,,,,,,,,,,,,,,,
2011,min,Quantile70_Group,High importance & High interaction,23,par74,par77,par83,par84,par89,par92,par95,par106,par107,par110,par113,par116,par119,par172,par178,par181,par193,par215,par218,par219,par220,par221,par225,,,,
2011,min,Quantile70_Group,High importance & Low interaction,7,par86,par98,par101,par104,par187,par223,par224,,,,,,,,,,,,,,,,,,,,
2012,min,Quantile70_Group,High importance & High interaction,24,par74,par77,par84,par90,par92,par95,par106,par107,par113,par116,par118,par119,par157,par163,par172,par181,par193,par213,par215,par216,par218,par219,par221,par225,,,
