Year,Type,Method,Group,Count,ParNums,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
2011,avg,Quantile70_Group,High importance & High interaction,23,5,5,7,8,8,10,10,10,12,12,17,13,13,13,5,10,13,2,5,8,10,12,13,,,,
2011,avg,Quantile70_Group,High importance & Low interaction,8,8,17,1,3,2,8,10,12,,,,,,,,,,,,,,,,,,,
2012,avg,Quantile70_Group,High importance & High interaction,26,5,5,7,8,10,10,10,10,14,12,12,17,17,13,13,2,5,10,13,2,5,7,8,10,17,13,
2012,avg,Quantile70_Group,High importance & Low interaction,6,1,3,4,8,10,12,,,,,,,,,,,,,,,,,,,,,
2013,avg,Quantile70_Group,High importance & High interaction,25,5,5,7,8,10,10,10,10,12,12,12,17,17,13,13,13,5,8,10,13,5,7,8,10,13,,
2013,avg,Quantile70_Group,High importance & Low interaction,7,1,14,3,2,7,12,17,,,,,,,,,,,,,,,,,,,,
2014,avg,Quantile70_Group,High importance & High interaction,24,5,8,10,10,10,12,13,13,1,2,5,10,13,1,3,2,4,5,7,8,10,12,17,13,,,
2014,avg,Quantile70_Group,High importance & Low interaction,8,7,13,3,4,7,8,12,17,,,,,,,,,,,,,,,,,,,
2015,avg,Quantile70_Group,High importance & High interaction,25,5,5,5,7,8,10,10,10,12,12,12,17,17,13,13,13,7,8,10,13,5,7,8,10,13,,
2015,avg,Quantile70_Group,High importance & Low interaction,7,10,1,3,2,4,5,12,,,,,,,,,,,,,,,,,,,,
2016,avg,Quantile70_Group,High importance & High interaction,24,5,5,7,8,10,10,10,10,12,17,13,13,2,5,10,13,2,5,7,8,10,12,17,13,,,
2016,avg,Quantile70_Group,High importance & Low interaction,8,17,1,3,4,7,8,12,17,,,,,,,,,,,,,,,,,,,
2017,avg,Quantile70_Group,High importance & High interaction,25,5,5,5,7,8,10,10,10,10,12,12,12,17,13,13,5,10,12,13,2,5,8,10,17,13,,
2017,avg,Quantile70_Group,High importance & Low interaction,8,13,1,3,2,4,7,8,17,,,,,,,,,,,,,,,,,,,
2018,avg,Quantile70_Group,High importance & High interaction,26,5,5,7,8,10,10,10,10,12,12,12,17,13,13,13,5,8,10,12,13,2,5,8,10,17,13,
2018,avg,Quantile70_Group,High importance & Low interaction,7,1,3,2,4,7,17,7,,,,,,,,,,,,,,,,,,,,
2019,avg,Quantile70_Group,High importance & High interaction,27,5,5,5,7,8,8,10,10,10,10,12,12,12,17,13,13,13,13,5,8,10,12,13,2,5,8,10
2019,avg,Quantile70_Group,High importance & Low interaction,6,17,2,7,10,17,7,,,,,,,,,,,,,,,,,,,,,
2020,avg,Quantile70_Group,High importance & High interaction,25,5,5,8,10,10,10,12,17,13,13,13,13,2,5,8,10,12,13,2,4,5,8,10,17,13,,
