Year,Type,Method,Group,Count,ParNums,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
2011,avg,Quantile70_Group,High importance & High interaction,23,group 5 (GW_DELAY),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (GW_REVAP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (RCHRG_DP),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GW_DELAY),group 13 (GW_DELAY),group 13 (GWQMN),group 13 (RCHRG_DP),group 5 (ESCO),group 10 (ESCO),group 13 (ESCO),group 2 (CN2),group 5 (CN2),group 8 (CN2),group 10 (CN2),group 12 (CN2),group 13 (CN2),,,,
2011,avg,Quantile70_Group,High importance & Low interaction,8,group 8 (GW_DELAY),group 17 (RCHRG_DP),group 1 (ESCO),group 3 (ESCO),group 2 (ESCO),group 8 (ESCO),group 10 (EPCO),group 12 (ESCO),,,,,,,,,,,,,,,,,,,
2012,avg,Quantile70_Group,High importance & High interaction,26,group 5 (GW_REVAP),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 14 (GWQMN),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GWQMN),group 17 (RCHRG_DP),group 13 (GWQMN),group 13 (RCHRG_DP),group 2 (ESCO),group 5 (ESCO),group 10 (ESCO),group 13 (ESCO),group 2 (CN2),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 17 (CN2),group 13 (CN2),
2012,avg,Quantile70_Group,High importance & Low interaction,6,group 1 (ESCO),group 3 (ESCO),group 4 (ESCO),group 8 (ESCO),group 10 (EPCO),group 12 (ESCO),,,,,,,,,,,,,,,,,,,,,
2013,avg,Quantile70_Group,High importance & High interaction,25,group 5 (GW_REVAP),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (GW_REVAP),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GWQMN),group 17 (RCHRG_DP),group 13 (GW_DELAY),group 13 (GWQMN),group 13 (RCHRG_DP),group 5 (ESCO),group 8 (ESCO),group 10 (ESCO),group 13 (ESCO),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 13 (CN2),,
2013,avg,Quantile70_Group,High importance & Low interaction,7,group 1 (RCHRG_DP),group 14 (RCHRG_DP),group 3 (ESCO),group 2 (ESCO),group 7 (ESCO),group 12 (ESCO),group 17 (ESCO),,,,,,,,,,,,,,,,,,,,
2014,avg,Quantile70_Group,High importance & High interaction,24,group 5 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (RCHRG_DP),group 12 (RCHRG_DP),group 13 (GWQMN),group 13 (RCHRG_DP),group 1 (ESCO),group 2 (ESCO),group 5 (ESCO),group 10 (ESCO),group 13 (ESCO),group 1 (CN2),group 3 (CN2),group 2 (CN2),group 4 (CN2),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 12 (CN2),group 17 (CN2),group 13 (CN2),,,
2014,avg,Quantile70_Group,High importance & Low interaction,8,group 7 (RCHRG_DP),group 13 (GW_DELAY),group 3 (ESCO),group 4 (ESCO),group 7 (ESCO),group 8 (ESCO),group 12 (ESCO),group 17 (ESCO),,,,,,,,,,,,,,,,,,,
2015,avg,Quantile70_Group,High importance & High interaction,25,group 5 (GW_REVAP),group 5 (GW_DELAY),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (GW_REVAP),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GWQMN),group 17 (RCHRG_DP),group 13 (GW_DELAY),group 13 (GWQMN),group 13 (RCHRG_DP),group 7 (ESCO),group 8 (ESCO),group 10 (ESCO),group 13 (ESCO),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 13 (CN2),,
2015,avg,Quantile70_Group,High importance & Low interaction,7,group 10 (GW_DELAY),group 1 (ESCO),group 3 (ESCO),group 2 (ESCO),group 4 (ESCO),group 5 (ESCO),group 12 (ESCO),,,,,,,,,,,,,,,,,,,,
2016,avg,Quantile70_Group,High importance & High interaction,24,group 5 (GW_REVAP),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (RCHRG_DP),group 17 (GWQMN),group 13 (GWQMN),group 13 (RCHRG_DP),group 2 (ESCO),group 5 (ESCO),group 10 (ESCO),group 13 (ESCO),group 2 (CN2),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 12 (CN2),group 17 (CN2),group 13 (CN2),,,
2016,avg,Quantile70_Group,High importance & Low interaction,8,group 17 (RCHRG_DP),group 1 (ESCO),group 3 (ESCO),group 4 (ESCO),group 7 (ESCO),group 8 (ESCO),group 12 (ESCO),group 17 (ESCO),,,,,,,,,,,,,,,,,,,
2017,avg,Quantile70_Group,High importance & High interaction,25,group 5 (GW_REVAP),group 5 (GW_DELAY),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (GW_REVAP),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GWQMN),group 13 (GWQMN),group 13 (RCHRG_DP),group 5 (ESCO),group 10 (ESCO),group 12 (ESCO),group 13 (ESCO),group 2 (CN2),group 5 (CN2),group 8 (CN2),group 10 (CN2),group 17 (CN2),group 13 (CN2),,
2017,avg,Quantile70_Group,High importance & Low interaction,8,group 13 (GW_DELAY),group 1 (ESCO),group 3 (ESCO),group 2 (ESCO),group 4 (ESCO),group 7 (ESCO),group 8 (ESCO),group 17 (ESCO),,,,,,,,,,,,,,,,,,,
2018,avg,Quantile70_Group,High importance & High interaction,26,group 5 (GW_REVAP),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (GW_REVAP),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GWQMN),group 13 (GW_REVAP),group 13 (GWQMN),group 13 (RCHRG_DP),group 5 (ESCO),group 8 (ESCO),group 10 (ESCO),group 12 (ESCO),group 13 (ESCO),group 2 (CN2),group 5 (CN2),group 8 (CN2),group 10 (CN2),group 17 (CN2),group 13 (CN2),
2018,avg,Quantile70_Group,High importance & Low interaction,7,group 1 (ESCO),group 3 (ESCO),group 2 (ESCO),group 4 (ESCO),group 7 (ESCO),group 17 (ESCO),group 7 (CN2),,,,,,,,,,,,,,,,,,,,
2019,avg,Quantile70_Group,High importance & High interaction,27,group 5 (GW_REVAP),group 5 (GW_DELAY),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 8 (GW_DELAY),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (GW_REVAP),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GW_DELAY),group 13 (GW_REVAP),group 13 (GW_DELAY),group 13 (GWQMN),group 13 (RCHRG_DP),group 5 (ESCO),group 8 (ESCO),group 10 (ESCO),group 12 (ESCO),group 13 (ESCO),group 2 (CN2),group 5 (CN2),group 8 (CN2),group 10 (CN2)
2019,avg,Quantile70_Group,High importance & Low interaction,6,group 17 (RCHRG_DP),group 2 (ESCO),group 7 (ESCO),group 10 (EPCO),group 17 (ESCO),group 7 (CN2),,,,,,,,,,,,,,,,,,,,,
2020,avg,Quantile70_Group,High importance & High interaction,25,group 5 (GW_DELAY),group 5 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (RCHRG_DP),group 12 (RCHRG_DP),group 17 (RCHRG_DP),group 13 (GW_REVAP),group 13 (GW_DELAY),group 13 (GWQMN),group 13 (RCHRG_DP),group 2 (ESCO),group 5 (ESCO),group 8 (ESCO),group 10 (ESCO),group 12 (ESCO),group 13 (ESCO),group 2 (CN2),group 4 (CN2),group 5 (CN2),group 8 (CN2),group 10 (CN2),group 17 (CN2),group 13 (CN2),,
2020,avg,Quantile70_Group,High importance & Low interaction,7,group 7 (RCHRG_DP),group 8 (GW_DELAY),group 1 (ESCO),group 3 (ESCO),group 4 (ESCO),group 10 (EPCO),group 17 (ESCO),,,,,,,,,,,,,,,,,,,,
2011,max,Quantile70_Group,High importance & High interaction,27,group 5 (GW_DELAY),group 5 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (RCHRG_DP),group 13 (GW_DELAY),group 13 (GWQMN),group 13 (RCHRG_DP),group 2 (ESCO),group 5 (ESCO),group 7 (ESCO),group 8 (ESCO),group 10 (ESCO),group 10 (EPCO),group 12 (ESCO),group 17 (ESCO),group 13 (ESCO),group 13 (EPCO),group 2 (CN2),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 14 (CN2),group 12 (CN2),group 17 (CN2),group 13 (CN2)
2011,max,Quantile70_Group,High importance & Low interaction,4,group 1 (ESCO),group 3 (ESCO),group 4 (ESCO),group 14 (ESCO),,,,,,,,,,,,,,,,,,,,,,,
2012,max,Quantile70_Group,High importance & High interaction,22,group 5 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 13 (GWQMN),group 13 (RCHRG_DP),group 2 (ESCO),group 5 (ESCO),group 8 (ESCO),group 10 (ESCO),group 10 (EPCO),group 13 (ESCO),group 1 (CN2),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 14 (CN2),group 12 (CN2),group 17 (CN2),group 13 (CN2),,,,,
2012,max,Quantile70_Group,High importance & Low interaction,7,group 5 (GW_DELAY),group 1 (ESCO),group 12 (ESCO),group 17 (ESCO),group 3 (CN2),group 2 (CN2),group 4 (CN2),,,,,,,,,,,,,,,,,,,,
2013,max,Quantile70_Group,High importance & High interaction,25,group 5 (GW_REVAP),group 5 (GW_DELAY),group 5 (RCHRG_DP),group 8 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (GW_REVAP),group 12 (GWQMN),group 12 (RCHRG_DP),group 17 (GWQMN),group 13 (GWQMN),group 13 (RCHRG_DP),group 3 (ESCO),group 5 (ESCO),group 10 (ESCO),group 13 (ESCO),group 3 (CN2),group 2 (CN2),group 4 (CN2),group 8 (CN2),group 10 (CN2),group 12 (CN2),group 13 (CN2),,
2013,max,Quantile70_Group,High importance & Low interaction,5,group 13 (GW_DELAY),group 2 (ESCO),group 8 (ESCO),group 12 (ESCO),group 7 (CN2),,,,,,,,,,,,,,,,,,,,,,
2014,max,Quantile70_Group,High importance & High interaction,27,group 5 (GW_DELAY),group 5 (RCHRG_DP),group 10 (GW_DELAY),group 10 (RCHRG_DP),group 13 (GWQMN),group 13 (RCHRG_DP),group 7 (ESCO),group 8 (ESCO),group 8 (EPCO),group 10 (ESCO),group 10 (EPCO),group 14 (ESCO),group 12 (ESCO),group 17 (ESCO),group 13 (ESCO),group 1 (CN2),group 3 (CN2),group 2 (CN2),group 4 (CN2),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 14 (CN2),group 12 (CN2),group 17 (CN2),group 13 (CN2)
2014,max,Quantile70_Group,High importance & Low interaction,2,group 13 (GW_DELAY),group 5 (ESCO),,,,,,,,,,,,,,,,,,,,,,,,,
2015,max,Quantile70_Group,High importance & High interaction,25,group 5 (GW_REVAP),group 5 (GW_DELAY),group 5 (RCHRG_DP),group 7 (RCHRG_DP),group 10 (GW_REVAP),group 10 (GW_DELAY),group 10 (GWQMN),group 10 (RCHRG_DP),group 12 (RCHRG_DP),group 17 (GWQMN),group 13 (GW_DELAY),group 13 (GWQMN),group 13 (RCHRG_DP),group 7 (ESCO),group 8 (ESCO),group 10 (ESCO),group 13 (ESCO),group 5 (CN2),group 7 (CN2),group 8 (CN2),group 10 (CN2),group 14 (CN2),group 12 (CN2),group 17 (CN2),group 13 (CN2),,
2015,max,Quantile70_Group,High importance & Low interaction,4,group 8 (RCHRG_DP),group 17 (RCHRG_DP),group 5 (ESCO),group 12 (ESCO),,,,,,,,,,,,,,,,,,,,,,,
