Par,Group
par1,A
par2,A
par3,A
par4,A
par5,A
par6,19
par7,19
par8,19
par9,19
par10,19
par11,19
par12,21
par13,21
par14,21
par15,21
par16,21
par17,21
par18,15
par19,15
par20,15
par21,15
par22,15
par23,15
par24,16
par25,16
par26,16
par27,16
par28,16
par29,16
par30,18
par31,18
par32,18
par33,18
par34,18
par35,18
par36,9
par37,9
par38,9
par39,9
par40,9
par41,9
par42,1
par43,1
par44,1
par45,1
par46,1
par47,1
par48,3
par49,3
par50,3
par51,3
par52,3
par53,3
par54,2
par55,2
par56,2
par57,2
par58,2
par59,2
par60,4
par61,4
par62,4
par63,4
par64,4
par65,4
par66,6
par67,6
par68,6
par69,6
par70,6
par71,6
par72,5
par73,5
par74,5
par75,5
par76,5
par77,5
par78,7
par79,7
par80,7
par81,7
par82,7
par83,7
par84,8
par85,8
par86,8
par87,8
par88,8
par89,8
par90,10
par91,10
par92,10
par93,10
par94,10
par95,10
par96,14
par97,14
par98,14
par99,14
par100,14
par101,14
par102,12
par103,12
par104,12
par105,12
par106,12
par107,12
par108,17
par109,17
par110,17
par111,17
par112,17
par113,17
par114,13
par115,13
par116,13
par117,13
par118,13
par119,13
par120,20
par121,20
par122,20
par123,20
par124,20
par125,20
par126,22
par127,22
par128,22
par129,22
par130,22
par131,22
par132,11
par133,11
par134,11
par135,11
par136,11
par137,11
par138,19
par139,19
par140,19
par141,21
par142,21
par143,15
par144,15
par145,15
par146,15
par147,16
par148,16
par149,16
par150,16
par151,18
par152,18
par153,18
par154,9
par155,9
par156,9
par157,1
par158,1
par159,1
par160,3
par161,3
par162,3
par163,2
par164,2
par165,2
par166,4
par167,4
par168,4
par169,6
par170,6
par171,6
par172,5
par173,5
par174,5
par175,7
par176,7
par177,7
par178,8
par179,8
par180,8
par181,10
par182,10
par183,10
par184,14
par185,14
par186,14
par187,12
par188,12
par189,12
par190,17
par191,17
par192,17
par193,13
par194,13
par195,13
par196,20
par197,20
par198,20
par199,22
par200,22
par201,22
par202,11
par203,11
par204,11
par205,11
par206,1
par206,2
par206,3
par206,4
par206,5
par206,6
par206,7
par206,8
par206,10
par207,21
par208,15
par209,15
par210,16
par211,18
par212,9
par213,1
par214,3
par215,2
par216,4
par217,6
par218,5
par219,7
par220,8
par221,10
par222,14
par223,12
par224,17
par225,13
par226,20
par227,22
par228,11
par229,1
par229,2
par229,3
par229,4
par229,5
par229,6
par229,7
par229,8
par229,10
par230,16
par231,16
par232,16
par233,11
par234,11
par235,11
par236,20
