SWAT Model Parameter replacement,,,,,
Value,File,Name,,,
IDX,EXT,PRMTR,Min,Max,Description
1,bsn,SURLAG,1,24,"???? ???? (?? ?? ??????? ??? ??? ??? ??? ?? ???? ??, ???? ???? ????? ??? ?? ????)"
2,bsn,SPCON,0.0001,0.01,"Linear parameter for sediment re-entrainment ??? ???? ?? ??? ??? ?? ??? ???? ???? (??? ??? ??? ??, ??? ?? ?? ??? ?????)"
3,bsn,SPEXP,1,2,Exponent parameter for sediment re-entrainment (?? ???? ??? ? ?? ???? ??? ?????? ????)
4,bsn,ESCO,0.7,1,"Soil evaporation Compensation Factor (?? ?? ?? ??), ???? ?? ??? ?, ???? ?? ???? ????? ??? ?? ?? ???? ????? ?????? ???? ????"
5,bsn,EPCO,0.5,1,"Plant Uptake Compensation Factor (??? ??? ?? ?? ??? ?? ? ?, ??? ?? ???? ???? ??? ???? ??? ? ???)"
6,gw,GW_REVAP,0.02,0.2,Groundwater Revap Coefficient (?? ???? ?? ?? ?? ???? ??? ??? ???? ? ?? ??? ???? ??)
7,gw,REVAPMN,0,500,"Threshold depth of water in the shallow aquifer for revap (shallow aquifer?? ??,?? ?? ??? ???? ?? ??? ?? ??? ??(mm)"
8,gw,GW_DELAY,0,500,"Groundwater Delay Time, ??/??? ?? ?? ???? ???? ????? ?????? ??? ???? (?)"
9,gw,ALPHA_BF,0,1,"Baseflow recession constant, ?? ?? ? ????? ??? ?? ?????? ???? ????"
10,gw,GWQMN,0,5000,"Threshold depth of water in the shallow quifer for return flow, ?? ????? ????? ???? ?? ??? ?? ??(mm)"
11,gw,RCHRG_DP,0,1,"Deep aquifer percolation fraction, ?? ????? ?? recharge??? ?? ??? ?? ?? ??? ??"
12,gw,GW_REVAP,0.02,0.2,
13,gw,REVAPMN,0,500,
14,gw,GW_DELAY,0,500,
15,gw,ALPHA_BF,0,1,
16,gw,GWQMN,0,5000,
17,gw,RCHRG_DP,0,1,
18,gw,GW_REVAP,0.02,0.2,
19,gw,REVAPMN,0,500,
20,gw,GW_DELAY,0,500,
21,gw,ALPHA_BF,0,1,
22,gw,GWQMN,0,5000,
23,gw,RCHRG_DP,0,1,
24,gw,GW_REVAP,0.02,0.2,
25,gw,REVAPMN,0,500,
26,gw,GW_DELAY,0,500,
27,gw,ALPHA_BF,0,1,
28,gw,GWQMN,0,5000,
29,gw,RCHRG_DP,0,1,
30,gw,GW_REVAP,0.02,0.2,
31,gw,REVAPMN,0,500,
32,gw,GW_DELAY,0,500,
