ParNum,ParName,High importance & High interaction,High importance & Low interaction,Low importance & High interaction,Low importance & Low interaction
par1,SURLAG,0,0,0,0
par2,SPCON,0,0,0,0
par3,SPEXP,0,0,0,0
par4,ESCO,0,0,0,0
par5,EPCO,0,0,0,0
par6,GW_REVAP,0,0,0,0
par7,REVAPMN,0,0,0,0
par8,GW_DELAY,0,0,0,0
par9,ALPHA_BF,0,0,0,0
par10,GWQMN,0,0,0,0
par11,RCHRG_DP,0,0,0,0
par12,GW_REVAP,0,0,0,0
par13,REVAPMN,0,0,0,0
par14,GW_DELAY,0,0,0,0
par15,ALPHA_BF,0,0,0,0
par16,GWQMN,0,0,0,0
par17,RCHRG_DP,0,0,0,0
par18,GW_REVAP,0,0,0,0
par19,REVAPMN,0,0,0,0
par20,GW_DELAY,0,0,0,0
par21,ALPHA_BF,0,0,0,0
par22,GWQMN,0,0,0,0
par23,RCHRG_DP,0,0,0,0
par24,GW_REVAP,0,0,0,0
par25,REVAPMN,0,0,0,0
par26,GW_DELAY,0,0,0,0
par27,ALPHA_BF,0,0,0,0
par28,GWQMN,0,0,0,0
par29,RCHRG_DP,0,0,0,0
par30,GW_REVAP,0,0,0,0
par31,REVAPMN,0,0,0,0
par32,GW_DELAY,0,0,0,0
par33,ALPHA_BF,0,0,0,0
par34,GWQMN,0,0,0,0
par35,RCHRG_DP,0,0,0,0
par36,GW_REVAP,0,0,0,0
par37,REVAPMN,0,0,0,0
par38,GW_DELAY,0,0,0,0
par39,ALPHA_BF,0,0,0,0
par40,GWQMN,0,0,0,0
par41,RCHRG_DP,0,0,0,0
par42,GW_REVAP,0,0,0,10
par43,REVAPMN,0,0,0,9
par44,GW_DELAY,0,0,0,10
par45,ALPHA_BF,0,0,0,9
par46,GWQMN,0,0,0,10
par47,RCHRG_DP,0,1,0,9
par48,GW_REVAP,0,0,0,0
par49,REVAPMN,0,0,0,0
par50,GW_DELAY,0,0,0,0
par51,ALPHA_BF,0,0,0,0
par52,GWQMN,0,0,0,0
par53,RCHRG_DP,0,0,0,0
par54,GW_REVAP,0,0,0,0
par55,REVAPMN,0,0,0,1
par56,GW_DELAY,0,0,0,10
par57,ALPHA_BF,0,0,0,10
par58,GWQMN,0,0,0,10
par59,RCHRG_DP,0,0,0,10
par60,GW_REVAP,0,0,0,10
par61,REVAPMN,0,0,0,1
par62,GW_DELAY,0,0,0,10
par63,ALPHA_BF,0,0,0,10
par64,GWQMN,0,0,0,10
par65,RCHRG_DP,0,0,0,10
par66,GW_REVAP,0,0,0,0
par67,REVAPMN,0,0,0,0
par68,GW_DELAY,0,0,0,0
