Year,Type,Method,Group,Count,ParNums
2011,avg,Quadrant_Group,High importance & High interaction,49,"par47,par72,par74,par77,par80,par82,par83,par84,par86,par88,par89,par90,par92,par94,par95,par96,par100,par101,par102,par104,par106,par107,par110,par112,par113,par116,par118,par119,par157,par160,par163,par172,par175,par178,par181,par182,par190,par193,par213,par214,par215,par216,par218,par219,par220,par221,par223,par224,par225"
2011,avg,Quadrant_Group,High importance & Low interaction,3,"par166,par184,par187"
2011,avg,Quadrant_Group,Low importance & High interaction,3,"par46,par78,par108"
2011,avg,Quadrant_Group,Low importance & Low interaction,49,"par42,par44,par45,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par81,par87,par98,par99,par114,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par194,par195,par217,par222,par229"
2011,avg,Quantile70_Group,High importance & High interaction,23,"par74,par77,par83,par84,par89,par90,par92,par95,par106,par107,par110,par116,par118,par119,par172,par181,par193,par215,par218,par220,par221,par223,par225"
2011,avg,Quantile70_Group,High importance & Low interaction,8,"par86,par113,par157,par160,par163,par178,par182,par187"
2011,avg,Quantile70_Group,Low importance & High interaction,8,"par72,par82,par88,par94,par100,par102,par112,par224"
2011,avg,Quantile70_Group,Low importance & Low interaction,65,"par42,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par87,par96,par98,par99,par101,par104,par108,par114,par117,par158,par159,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par216,par217,par219,par222,par229"
2011,avg,Cluster,0,26,"par72,par74,par82,par83,par84,par86,par88,par89,par94,par100,par106,par107,par110,par112,par113,par157,par160,par163,par172,par178,par182,par187,par218,par220,par223,par224"
2011,avg,Cluster,1,12,"par77,par90,par92,par95,par116,par118,par119,par181,par193,par215,par221,par225"
2011,avg,Cluster,2,66,"par42,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par87,par96,par98,par99,par101,par102,par104,par108,par114,par117,par158,par159,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par216,par217,par219,par222,par229"
2012,avg,Quadrant_Group,High importance & High interaction,49,"par47,par72,par74,par77,par82,par83,par84,par86,par89,par90,par92,par94,par95,par98,par100,par101,par102,par106,par107,par110,par112,par113,par116,par118,par119,par157,par160,par163,par166,par172,par173,par175,par178,par181,par184,par187,par190,par193,par213,par214,par215,par216,par218,par219,par220,par221,par223,par224,par225"
2012,avg,Quadrant_Group,High importance & Low interaction,4,"par164,par169,par182,par194"
2012,avg,Quadrant_Group,Low importance & High interaction,4,"par78,par88,par96,par108"
2012,avg,Quadrant_Group,Low importance & Low interaction,49,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par80,par81,par87,par99,par104,par111,par114,par117,par158,par159,par161,par162,par165,par167,par168,par170,par171,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par195,par217,par222,par229"
2012,avg,Quantile70_Group,High importance & High interaction,26,"par72,par77,par83,par89,par90,par92,par94,par95,par100,par106,par107,par112,par113,par118,par119,par163,par172,par181,par193,par215,par218,par219,par220,par221,par224,par225"
2012,avg,Quantile70_Group,High importance & Low interaction,6,"par157,par160,par166,par178,par182,par187"
2012,avg,Quantile70_Group,Low importance & High interaction,6,"par82,par84,par102,par116,par213,par223"
2012,avg,Quantile70_Group,Low importance & Low interaction,68,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par76,par78,par80,par81,par86,par87,par88,par96,par98,par99,par101,par104,par108,par110,par111,par114,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par214,par216,par217,par222,par229"
