30
avg2011
max2011
min2011
avg2012
max2012
min2012
avg2013
max2013
min2013
avg2014
max2014
min2014
avg2015
max2015
min2015
avg2016
max2016
min2016
avg2017
max2017
min2017
avg2018
max2018
min2018
avg2019
max2019
min2019
avg2020
max2020
min2020
time = no
1185
37.86886301369863	428.5	8.462	68.95251366120219	358.8	23.51	28.864542465753427	94.14	4.933	60.34740273972603	531.5	9.342	50.77893150684932	461.5	11.83	69.79215846994535	580.3	12.76	59.23306849315068	256.3	15.38	58.94619178082192	465.6	15.93	24.257172602739725	184.5	5.034	27.0771397260274	357.6	3.426
37.78467123287671	428.4	8.476	68.9401092896175	358.7	23.17	28.925210958904103	94.23	4.908	60.28097260273973	531.2	9.235	50.80619178082191	461.7	11.87	69.75284153005465	580.4	12.77	59.26901369863013	256.3	15.42	58.95438356164383	465.7	15.97	24.22401369863013	184.4	5.025	27.05802191780822	357.6	3.402
39.84843835616439	431.5	10.08	68.26978142076503	358.1	23.46	29.85925479452055	94.47	7.012	60.720164383561645	533.1	11.3	49.85553424657535	459.7	13.38	69.90346994535518	580.5	13.62	58.91865753424658	254.3	17.27	58.945205479452056	466.7	17.17	25.352649315068494	186.2	6.741	27.47612876712329	359.0	3.979
39.84843835616439	431.5	10.08	68.26978142076503	358.1	23.46	29.85925479452055	94.47	7.012	60.720164383561645	533.1	11.3	49.85553424657535	459.7	13.38	69.90346994535518	580.5	13.62	58.91865753424658	254.3	17.27	58.945205479452056	466.7	17.17	25.352649315068494	186.2	6.741	27.47612876712329	359.0	3.979
39.84843835616439	431.5	10.08	68.26978142076503	358.1	23.46	29.85925479452055	94.47	7.012	60.720164383561645	533.1	11.3	49.85553424657535	459.7	13.38	69.90346994535518	580.5	13.62	58.91865753424658	254.3	17.27	58.945205479452056	466.7	17.17	25.352649315068494	186.2	6.741	27.47612876712329	359.0	3.979
39.84843835616439	431.5	10.08	68.26978142076503	358.1	23.46	29.85925479452055	94.47	7.012	60.720164383561645	533.1	11.3	49.85553424657535	459.7	13.38	69.90346994535518	580.5	13.62	58.91865753424658	254.3	17.27	58.945205479452056	466.7	17.17	25.352649315068494	186.2	6.741	27.47612876712329	359.0	3.979
42.200986301369866	434.1	12.23	70.65374316939891	360.8	25.84	31.856865753424657	96.82	8.506	61.62991780821918	534.6	12.74	50.97917808219179	462.3	13.65	70.87270491803278	582.4	13.62	60.31465753424657	256.4	18.46	60.31709589041096	468.5	17.34	25.995800000000003	187.5	6.741	27.76485205479452	359.5	3.979
42.200986301369866	434.1	12.23	70.65374316939891	360.8	25.84	31.856865753424657	96.82	8.506	61.62991780821918	534.6	12.74	50.97917808219179	462.3	13.65	70.87270491803278	582.4	13.62	60.31465753424657	256.4	18.46	60.31709589041096	468.5	17.34	25.995800000000003	187.5	6.741	27.76485205479452	359.5	3.979
42.04997260273973	420.0	12.58	69.88327868852458	351.2	26.35	32.38246849315069	97.63	8.753	61.297342465753424	495.3	13.02	51.93002739726027	455.2	14.59	70.61057377049181	545.6	14.63	61.615013698630136	249.5	19.81	60.747506849315066	439.5	18.02	26.62738082191781	180.6	7.0	27.76567123287671	351.7	4.124
42.04997260273973	420.0	12.58	69.88327868852458	351.2	26.35	32.38246849315069	97.63	8.753	61.297342465753424	495.3	13.02	51.93002739726027	455.2	14.59	70.61057377049181	545.6	14.63	61.615013698630136	249.5	19.81	60.747506849315066	439.5	18.02	26.62738082191781	180.6	7.0	27.76567123287671	351.7	4.124
