30
avg2011
max2011
min2011
avg2012
max2012
min2012
avg2013
max2013
min2013
avg2014
max2014
min2014
avg2015
max2015
min2015
avg2016
max2016
min2016
avg2017
max2017
min2017
avg2018
max2018
min2018
avg2019
max2019
min2019
avg2020
max2020
min2020
time = no
28672
28.51783561643836	136.6	13.17	45.65390710382514	260.5	20.1	25.265501369863014	73.39	9.606	33.36402739726027	117.0	9.95	36.6065205479452	268.7	16.93	41.1301912568306	258.4	14.36	41.59117808219178	125.3	22.54	41.14476712328767	309.8	19.48	19.08274794520548	63.48	8.125	15.419668493150684	195.6	4.054
27.62174794520548	239.5	9.868	50.179098360655736	430.0	18.16	23.464	134.4	6.879	40.44882191780822	527.3	10.57	38.57065753424658	417.0	14.37	46.367295081967214	361.0	12.04	42.53920547945205	192.8	19.1	43.76827397260274	396.8	16.33	17.464479452054793	97.14	5.84	17.33520821917808	294.1	3.66
32.753150684931505	267.4	12.73	56.54357923497268	562.6	21.45	26.9084602739726	141.0	8.253	43.4306301369863	581.4	14.53	42.069452054794525	437.1	16.0	52.708606557377045	504.2	13.71	47.75369863013698	224.2	21.9	48.442821917808224	479.5	18.47	20.018786301369865	119.6	7.253	19.37428493150685	324.4	4.554
40.84884931506849	359.7	17.68	66.8351912568306	560.8	25.46	33.68819178082192	149.8	13.91	54.60958904109589	697.8	19.89	50.24194520547945	559.3	20.79	64.06642076502733	461.7	18.2	60.65397260273973	360.3	27.83	59.511369863013705	494.9	24.04	27.3427397260274	107.2	12.99	26.390624657534246	487.8	8.618
28.596663013698628	161.7	9.657	52.63959016393443	309.5	20.68	24.641898630136986	77.94	5.395	41.71780821917808	275.9	12.09	38.73224657534247	290.2	14.27	47.7148087431694	335.2	13.45	48.0698904109589	144.8	19.5	46.34523287671232	290.9	16.58	18.50816712328767	70.82	6.317	18.76640821917808	192.4	3.186
35.96849315068493	107.0	20.17	52.09986338797814	153.0	27.68	30.53041095890411	78.94	13.85	38.22558904109589	89.18	16.06	39.53723287671233	147.8	20.06	44.30311475409836	214.7	19.07	46.16016438356164	114.1	26.64	45.45841095890411	166.1	23.96	24.14265753424657	68.26	12.49	20.327690410958905	153.3	8.206
32.012627397260275	581.7	4.21	62.1253825136612	802.7	13.27	22.28608493150685	204.7	1.774	54.89510410958904	1069.0	7.564	42.54335890410959	839.7	7.338	63.30618032786886	744.7	6.844	49.78164383561644	430.7	12.26	51.6195698630137	667.5	9.283	17.023890410958906	243.5	1.576	20.83130493150685	626.7	0.4043
30.6624	222.0	8.665	54.58073770491803	377.0	17.34	25.70584109589041	109.3	5.365	42.70841095890411	347.4	12.1	39.811068493150685	312.2	12.53	50.18256830601093	365.2	12.22	48.2621095890411	211.6	19.94	48.392794520547945	349.8	14.24	19.65589315068493	90.07	5.44	19.000761643835617	309.7	2.787
36.47934246575342	318.6	15.67	61.70669398907104	599.2	26.86	30.700175342465755	160.3	9.632	48.13372602739727	821.9	13.05	48.21002739726028	578.7	19.54	57.04590163934426	517.1	15.26	54.64419178082192	257.1	25.22	54.13619178082192	508.9	23.06	22.845928767123286	120.1	7.985	21.55068767123288	375.8	6.943
31.05427397260274	170.9	14.16	48.44658469945355	288.7	20.05	25.813424657534245	70.46	10.47	38.50419178082192	271.2	14.91	36.70443835616439	287.1	15.74	44.8387431693989	272.8	14.84	42.67909589041096	170.2	20.96	42.37709589041096	294.2	18.19	20.383775342465757	63.77	9.938	19.210879452054797	286.4	5.851
