Simulation_ID,Total_Points,Out_of_Range_Count,Risk_Percentage
sim1,9,8,88.88888888888889
sim2,9,5,55.55555555555556
sim3,9,2,22.22222222222222
sim4,9,3,33.33333333333333
sim5,9,8,88.88888888888889
sim6,9,9,100.0
sim7,9,7,77.77777777777779
sim8,9,7,77.77777777777779
sim9,9,0,0.0
sim10,9,8,88.88888888888889
sim11,9,6,66.66666666666666
sim12,9,8,88.88888888888889
sim13,9,6,66.66666666666666
sim14,9,8,88.88888888888889
sim15,9,7,77.77777777777779
sim16,9,8,88.88888888888889
sim17,9,7,77.77777777777779
sim18,9,4,44.44444444444444
sim19,9,4,44.44444444444444
sim20,9,7,77.77777777777779
sim21,9,2,22.22222222222222
sim22,9,8,88.88888888888889
sim23,9,3,33.33333333333333
sim24,9,8,88.88888888888889
sim25,9,9,100.0
sim26,9,8,88.88888888888889
sim27,9,6,66.66666666666666
sim28,9,6,66.66666666666666
sim29,9,6,66.66666666666666
sim30,9,8,88.88888888888889
sim31,9,4,44.44444444444444
sim32,9,5,55.55555555555556
sim33,9,8,88.88888888888889
sim34,9,8,88.88888888888889
sim35,9,9,100.0
sim36,9,8,88.88888888888889
sim37,9,7,77.77777777777779
sim38,9,8,88.88888888888889
sim39,9,6,66.66666666666666
sim40,9,3,33.33333333333333
sim41,9,3,33.33333333333333
sim42,9,6,66.66666666666666
sim43,9,4,44.44444444444444
sim44,9,8,88.88888888888889
sim45,9,8,88.88888888888889
sim46,9,4,44.44444444444444
sim47,9,6,66.66666666666666
sim48,9,8,88.88888888888889
sim49,9,5,55.55555555555556
sim50,9,8,88.88888888888889
sim51,9,4,44.44444444444444
sim52,9,8,88.88888888888889
sim53,9,9,100.0
sim54,9,4,44.44444444444444
sim55,9,7,77.77777777777779
sim56,9,8,88.88888888888889
sim57,9,1,11.11111111111111
sim58,9,8,88.88888888888889
sim59,9,4,44.44444444444444
sim60,9,8,88.88888888888889
sim61,9,5,55.55555555555556
sim62,9,5,55.55555555555556
sim63,9,2,22.22222222222222
sim64,9,5,55.55555555555556
sim65,9,4,44.44444444444444
sim66,9,6,66.66666666666666
sim67,9,8,88.88888888888889
sim68,9,3,33.33333333333333
sim69,9,9,100.0
sim70,9,4,44.44444444444444
sim71,9,5,55.55555555555556
sim72,9,5,55.55555555555556
sim73,9,6,66.66666666666666
sim74,9,7,77.77777777777779
sim75,9,8,88.88888888888889
sim76,9,3,33.33333333333333
sim77,9,7,77.77777777777779
sim78,9,3,33.33333333333333
sim79,9,8,88.88888888888889
sim80,9,5,55.55555555555556
sim81,9,3,33.33333333333333
sim82,9,3,33.33333333333333
sim83,9,9,100.0
sim84,9,8,88.88888888888889
sim85,9,8,88.88888888888889
sim86,9,5,55.55555555555556
sim87,9,6,66.66666666666666
sim88,9,6,66.66666666666666
sim89,9,8,88.88888888888889
sim90,9,2,22.22222222222222
sim91,9,8,88.88888888888889
sim92,9,7,77.77777777777779
sim93,9,6,66.66666666666666
sim94,9,6,66.66666666666666
sim95,9,8,88.88888888888889
sim96,9,4,44.44444444444444
sim97,9,8,88.88888888888889
sim98,9,0,0.0
sim99,9,8,88.88888888888889
sim100,9,8,88.88888888888889
sim101,9,5,55.55555555555556
sim102,9,7,77.77777777777779
sim103,9,8,88.88888888888889
sim104,9,5,55.55555555555556
sim105,9,8,88.88888888888889
sim106,9,2,22.22222222222222
sim107,9,5,55.55555555555556
sim108,9,2,22.22222222222222
sim109,9,3,33.33333333333333
sim110,9,8,88.88888888888889
sim111,9,8,88.88888888888889
sim112,9,9,100.0
sim113,9,8,88.88888888888889
sim114,9,9,100.0
sim115,9,3,33.33333333333333
sim116,9,4,44.44444444444444
sim117,9,4,44.44444444444444
sim118,9,4,44.44444444444444
sim119,9,8,88.88888888888889
sim120,9,5,55.55555555555556
sim121,9,8,88.88888888888889
sim122,9,4,44.44444444444444
sim123,9,5,55.55555555555556
sim124,9,2,22.22222222222222
sim125,9,7,77.77777777777779
sim126,9,8,88.88888888888889
sim127,9,7,77.77777777777779
sim128,9,7,77.77777777777779
sim129,9,9,100.0
sim130,9,8,88.88888888888889
sim131,9,4,44.44444444444444
sim132,9,6,66.66666666666666
sim133,9,5,55.55555555555556
sim134,9,4,44.44444444444444
sim135,9,8,88.88888888888889
sim136,9,7,77.77777777777779
sim137,9,5,55.55555555555556
sim138,9,2,22.22222222222222
sim139,9,8,88.88888888888889
sim140,9,3,33.33333333333333
sim141,9,8,88.88888888888889
sim142,9,3,33.33333333333333
sim143,9,6,66.66666666666666
sim144,9,3,33.33333333333333
sim145,9,8,88.88888888888889
sim146,9,4,44.44444444444444
sim147,9,3,33.33333333333333
sim148,9,6,66.66666666666666
sim149,9,5,55.55555555555556
sim150,9,3,33.33333333333333
sim151,9,8,88.88888888888889
sim152,9,3,33.33333333333333
sim153,9,8,88.88888888888889
sim154,9,1,11.11111111111111
sim155,9,6,66.66666666666666
sim156,9,5,55.55555555555556
sim157,9,6,66.66666666666666
sim158,9,8,88.88888888888889
sim159,9,8,88.88888888888889
sim160,9,5,55.55555555555556
sim161,9,3,33.33333333333333
sim162,9,7,77.77777777777779
sim163,9,8,88.88888888888889
sim164,9,9,100.0
sim165,9,8,88.88888888888889
sim166,9,8,88.88888888888889
sim167,9,7,77.77777777777779
sim168,9,7,77.77777777777779
sim169,9,6,66.66666666666666
sim170,9,0,0.0
sim171,9,8,88.88888888888889
sim172,9,3,33.33333333333333
sim173,9,6,66.66666666666666
sim174,9,7,77.77777777777779
sim175,9,5,55.55555555555556
sim176,9,3,33.33333333333333
sim177,9,8,88.88888888888889
sim178,9,7,77.77777777777779
sim179,9,8,88.88888888888889
sim180,9,3,33.33333333333333
sim181,9,8,88.88888888888889
sim182,9,2,22.22222222222222
sim183,9,4,44.44444444444444
sim184,9,6,66.66666666666666
sim185,9,2,22.22222222222222
sim186,9,3,33.33333333333333
sim187,9,8,88.88888888888889
sim188,9,5,55.55555555555556
sim189,9,8,88.88888888888889
sim190,9,6,66.66666666666666
sim191,9,1,11.11111111111111
sim192,9,3,33.33333333333333
sim193,9,3,33.33333333333333
sim194,9,8,88.88888888888889
sim195,9,3,33.33333333333333
sim196,9,8,88.88888888888889
sim197,9,5,55.55555555555556
sim198,9,4,44.44444444444444
sim199,9,5,55.55555555555556
sim200,9,8,88.88888888888889
sim201,9,4,44.44444444444444
sim202,9,7,77.77777777777779
sim203,9,4,44.44444444444444
sim204,9,8,88.88888888888889
sim205,9,8,88.88888888888889
sim206,9,8,88.88888888888889
sim207,9,2,22.22222222222222
sim208,9,3,33.33333333333333
sim209,9,8,88.88888888888889
sim210,9,8,88.88888888888889
sim211,9,6,66.66666666666666
sim212,9,8,88.88888888888889
sim213,9,3,33.33333333333333
sim214,9,3,33.33333333333333
sim215,9,2,22.22222222222222
sim216,9,8,88.88888888888889
sim217,9,4,44.44444444444444
sim218,9,5,55.55555555555556
sim219,9,8,88.88888888888889
sim220,9,8,88.88888888888889
sim221,9,4,44.44444444444444
sim222,9,8,88.88888888888889
sim223,9,6,66.66666666666666
sim224,9,8,88.88888888888889
sim225,9,8,88.88888888888889
sim226,9,7,77.77777777777779
sim227,9,3,33.33333333333333
sim228,9,4,44.44444444444444
sim229,9,2,22.22222222222222
sim230,9,8,88.88888888888889
sim231,9,5,55.55555555555556
sim232,9,8,88.88888888888889
sim233,9,2,22.22222222222222
sim234,9,4,44.44444444444444
sim235,9,8,88.88888888888889
sim236,9,5,55.55555555555556
sim237,9,6,66.66666666666666
sim238,9,8,88.88888888888889
sim239,9,3,33.33333333333333
sim240,9,8,88.88888888888889
sim241,9,3,33.33333333333333
sim242,9,4,44.44444444444444
sim243,9,2,22.22222222222222
sim244,9,7,77.77777777777779
sim245,9,4,44.44444444444444
sim246,9,8,88.88888888888889
sim247,9,9,100.0
sim248,9,7,77.77777777777779
sim249,9,2,22.22222222222222
sim250,9,5,55.55555555555556
sim251,9,6,66.66666666666666
sim252,9,5,55.55555555555556
sim253,9,8,88.88888888888889
sim254,9,8,88.88888888888889
sim255,9,2,22.22222222222222
sim256,9,3,33.33333333333333
sim257,9,8,88.88888888888889
sim258,9,4,44.44444444444444
sim259,9,8,88.88888888888889
sim260,9,4,44.44444444444444
sim261,9,4,44.44444444444444
sim262,9,7,77.77777777777779
sim263,9,7,77.77777777777779
sim264,9,8,88.88888888888889
sim265,9,2,22.22222222222222
sim266,9,4,44.44444444444444
sim267,9,4,44.44444444444444
sim268,9,2,22.22222222222222
sim269,9,8,88.88888888888889
sim270,9,8,88.88888888888889
sim271,9,7,77.77777777777779
sim272,9,8,88.88888888888889
sim273,9,7,77.77777777777779
sim274,9,5,55.55555555555556
sim275,9,8,88.88888888888889
sim276,9,2,22.22222222222222
sim277,9,8,88.88888888888889
sim278,9,5,55.55555555555556
sim279,9,8,88.88888888888889
sim280,9,4,44.44444444444444
sim281,9,5,55.55555555555556
sim282,9,4,44.44444444444444
sim283,9,8,88.88888888888889
sim284,9,2,22.22222222222222
sim285,9,8,88.88888888888889
sim286,9,8,88.88888888888889
sim287,9,9,100.0
sim288,9,8,88.88888888888889
sim289,9,8,88.88888888888889
sim290,9,8,88.88888888888889
sim291,9,4,44.44444444444444
sim292,9,8,88.88888888888889
sim293,9,2,22.22222222222222
sim294,9,8,88.88888888888889
sim295,9,4,44.44444444444444
sim296,9,7,77.77777777777779
sim297,9,3,33.33333333333333
sim298,9,6,66.66666666666666
sim299,9,2,22.22222222222222
sim300,9,8,88.88888888888889
sim301,9,8,88.88888888888889
sim302,9,9,100.0
sim303,9,8,88.88888888888889
sim304,9,4,44.44444444444444
sim305,9,8,88.88888888888889
sim306,9,8,88.88888888888889
sim307,9,7,77.77777777777779
sim308,9,5,55.55555555555556
sim309,9,6,66.66666666666666
sim310,9,7,77.77777777777779
sim311,9,5,55.55555555555556
sim312,9,2,22.22222222222222
sim313,9,7,77.77777777777779
sim314,9,2,22.22222222222222
sim315,9,6,66.66666666666666
sim316,9,8,88.88888888888889
sim317,9,2,22.22222222222222
sim318,9,3,33.33333333333333
sim319,9,8,88.88888888888889
sim320,9,8,88.88888888888889
sim321,9,7,77.77777777777779
sim322,9,3,33.33333333333333
sim323,9,8,88.88888888888889
sim324,9,8,88.88888888888889
sim325,9,4,44.44444444444444
sim326,9,2,22.22222222222222
sim327,9,2,22.22222222222222
sim328,9,6,66.66666666666666
sim329,9,1,11.11111111111111
sim330,9,6,66.66666666666666
sim331,9,8,88.88888888888889
sim332,9,7,77.77777777777779
sim333,9,8,88.88888888888889
sim334,9,8,88.88888888888889
sim335,9,2,22.22222222222222
sim336,9,8,88.88888888888889
sim337,9,7,77.77777777777779
sim338,9,4,44.44444444444444
sim339,9,8,88.88888888888889
sim340,9,4,44.44444444444444
sim341,9,5,55.55555555555556
sim342,9,7,77.77777777777779
sim343,9,7,77.77777777777779
sim344,9,8,88.88888888888889
sim345,9,4,44.44444444444444
sim346,9,2,22.22222222222222
sim347,9,5,55.55555555555556
sim348,9,9,100.0
sim349,9,7,77.77777777777779
sim350,9,7,77.77777777777779
sim351,9,2,22.22222222222222
sim352,9,4,44.44444444444444
sim353,9,5,55.55555555555556
sim354,9,9,100.0
sim355,9,3,33.33333333333333
sim356,9,3,33.33333333333333
sim357,9,7,77.77777777777779
sim358,9,4,44.44444444444444
sim359,9,8,88.88888888888889
sim360,9,5,55.55555555555556
sim361,9,8,88.88888888888889
sim362,9,6,66.66666666666666
sim363,9,4,44.44444444444444
sim364,9,8,88.88888888888889
sim365,9,8,88.88888888888889
sim366,9,2,22.22222222222222
sim367,9,7,77.77777777777779
sim368,9,9,100.0
sim369,9,8,88.88888888888889
sim370,9,9,100.0
sim371,9,7,77.77777777777779
sim372,9,3,33.33333333333333
sim373,9,8,88.88888888888889
sim374,9,3,33.33333333333333
sim375,9,5,55.55555555555556
sim376,9,5,55.55555555555556
sim377,9,5,55.55555555555556
sim378,9,4,44.44444444444444
sim379,9,0,0.0
sim380,9,8,88.88888888888889
sim381,9,1,11.11111111111111
sim382,9,5,55.55555555555556
sim383,9,7,77.77777777777779
sim384,9,8,88.88888888888889
sim385,9,5,55.55555555555556
sim386,9,3,33.33333333333333
sim387,9,3,33.33333333333333
sim388,9,8,88.88888888888889
sim389,9,9,100.0
sim390,9,4,44.44444444444444
sim391,9,8,88.88888888888889
sim392,9,7,77.77777777777779
sim393,9,8,88.88888888888889
sim394,9,7,77.77777777777779
sim395,9,1,11.11111111111111
sim396,9,5,55.55555555555556
sim397,9,4,44.44444444444444
sim398,9,5,55.55555555555556
sim399,9,4,44.44444444444444
sim400,9,7,77.77777777777779
sim401,9,4,44.44444444444444
sim402,9,7,77.77777777777779
sim403,9,4,44.44444444444444
sim404,9,8,88.88888888888889
sim405,9,3,33.33333333333333
sim406,9,2,22.22222222222222
sim407,9,8,88.88888888888889
sim408,9,8,88.88888888888889
sim409,9,8,88.88888888888889
sim410,9,8,88.88888888888889
sim411,9,3,33.33333333333333
sim412,9,8,88.88888888888889
sim413,9,3,33.33333333333333
sim414,9,3,33.33333333333333
sim415,9,4,44.44444444444444
sim416,9,5,55.55555555555556
sim417,9,3,33.33333333333333
sim418,9,7,77.77777777777779
sim419,9,6,66.66666666666666
sim420,9,3,33.33333333333333
sim421,9,8,88.88888888888889
sim422,9,9,100.0
sim423,9,6,66.66666666666666
sim424,9,8,88.88888888888889
sim425,9,9,100.0
sim426,9,5,55.55555555555556
sim427,9,7,77.77777777777779
sim428,9,6,66.66666666666666
sim429,9,8,88.88888888888889
sim430,9,2,22.22222222222222
sim431,9,3,33.33333333333333
sim432,9,4,44.44444444444444
sim433,9,8,88.88888888888889
sim434,9,2,22.22222222222222
sim435,9,4,44.44444444444444
sim436,9,9,100.0
sim437,9,8,88.88888888888889
sim438,9,8,88.88888888888889
sim439,9,3,33.33333333333333
sim440,9,8,88.88888888888889
sim441,9,5,55.55555555555556
sim442,9,2,22.22222222222222
sim443,9,8,88.88888888888889
sim444,9,3,33.33333333333333
sim445,9,5,55.55555555555556
sim446,9,3,33.33333333333333
sim447,9,6,66.66666666666666
sim448,9,5,55.55555555555556
sim449,9,7,77.77777777777779
sim450,9,7,77.77777777777779
sim451,9,6,66.66666666666666
sim452,9,8,88.88888888888889
sim453,9,4,44.44444444444444
sim454,9,5,55.55555555555556
sim455,9,6,66.66666666666666
sim456,9,2,22.22222222222222
sim457,9,5,55.55555555555556
sim458,9,8,88.88888888888889
sim459,9,7,77.77777777777779
sim460,9,8,88.88888888888889
sim461,9,2,22.22222222222222
sim462,9,7,77.77777777777779
sim463,9,8,88.88888888888889
sim464,9,1,11.11111111111111
sim465,9,8,88.88888888888889
sim466,9,5,55.55555555555556
sim467,9,8,88.88888888888889
sim468,9,8,88.88888888888889
sim469,9,5,55.55555555555556
sim470,9,6,66.66666666666666
sim471,9,8,88.88888888888889
sim472,9,5,55.55555555555556
sim473,9,8,88.88888888888889
sim474,9,8,88.88888888888889
sim475,9,8,88.88888888888889
sim476,9,3,33.33333333333333
sim477,9,6,66.66666666666666
sim478,9,3,33.33333333333333
sim479,9,8,88.88888888888889
sim480,9,8,88.88888888888889
sim481,9,2,22.22222222222222
sim482,9,8,88.88888888888889
sim483,9,3,33.33333333333333
sim484,9,8,88.88888888888889
sim485,9,8,88.88888888888889
sim486,9,8,88.88888888888889
sim487,9,8,88.88888888888889
sim488,9,8,88.88888888888889
sim489,9,8,88.88888888888889
sim490,9,8,88.88888888888889
sim491,9,8,88.88888888888889
sim492,9,4,44.44444444444444
sim493,9,3,33.33333333333333
sim494,9,8,88.88888888888889
sim495,9,3,33.33333333333333
sim496,9,5,55.55555555555556
sim497,9,4,44.44444444444444
sim498,9,8,88.88888888888889
sim499,9,8,88.88888888888889
sim500,9,2,22.22222222222222
sim501,9,8,88.88888888888889
sim502,9,8,88.88888888888889
sim503,9,8,88.88888888888889
sim504,9,5,55.55555555555556
sim505,9,2,22.22222222222222
sim506,9,5,55.55555555555556
sim507,9,8,88.88888888888889
sim508,9,1,11.11111111111111
sim509,9,7,77.77777777777779
sim510,9,6,66.66666666666666
sim511,9,3,33.33333333333333
sim512,9,6,66.66666666666666
sim513,9,8,88.88888888888889
sim514,9,4,44.44444444444444
sim515,9,8,88.88888888888889
sim516,9,4,44.44444444444444
sim517,9,4,44.44444444444444
sim518,9,7,77.77777777777779
sim519,9,7,77.77777777777779
sim520,9,8,88.88888888888889
sim521,9,2,22.22222222222222
sim522,9,4,44.44444444444444
sim523,9,4,44.44444444444444
sim524,9,2,22.22222222222222
sim525,9,8,88.88888888888889
sim526,9,8,88.88888888888889
sim527,9,7,77.77777777777779
sim528,9,8,88.88888888888889
sim529,9,7,77.77777777777779
sim530,9,5,55.55555555555556
sim531,9,8,88.88888888888889
sim532,9,2,22.22222222222222
sim533,9,8,88.88888888888889
sim534,9,5,55.55555555555556
sim535,9,8,88.88888888888889
sim536,9,4,44.44444444444444
sim537,9,5,55.55555555555556
sim538,9,4,44.44444444444444
sim539,9,8,88.88888888888889
sim540,9,2,22.22222222222222
sim541,9,8,88.88888888888889
sim542,9,8,88.88888888888889
sim543,9,9,100.0
sim544,9,8,88.88888888888889
sim545,9,8,88.88888888888889
sim546,9,8,88.88888888888889
sim547,9,4,44.44444444444444
sim548,9,8,88.88888888888889
sim549,9,2,22.22222222222222
sim550,9,8,88.88888888888889
sim551,9,4,44.44444444444444
sim552,9,7,77.77777777777779
sim553,9,3,33.33333333333333
sim554,9,6,66.66666666666666
sim555,9,2,22.22222222222222
sim556,9,8,88.88888888888889
sim557,9,8,88.88888888888889
sim558,9,9,100.0
sim559,9,8,88.88888888888889
sim560,9,4,44.44444444444444
sim561,9,8,88.88888888888889
sim562,9,8,88.88888888888889
sim563,9,7,77.77777777777779
sim564,9,5,55.55555555555556
sim565,9,6,66.66666666666666
sim566,9,7,77.77777777777779
sim567,9,5,55.55555555555556
sim568,9,2,22.22222222222222
sim569,9,7,77.77777777777779
sim570,9,2,22.22222222222222
sim571,9,6,66.66666666666666
sim572,9,8,88.88888888888889
sim573,9,2,22.22222222222222
sim574,9,3,33.33333333333333
sim575,9,8,88.88888888888889
sim576,9,8,88.88888888888889
sim577,9,7,77.77777777777779
sim578,9,3,33.33333333333333
sim579,9,8,88.88888888888889
sim580,9,8,88.88888888888889
sim581,9,4,44.44444444444444
sim582,9,2,22.22222222222222
sim583,9,2,22.22222222222222
sim584,9,6,66.66666666666666
sim585,9,1,11.11111111111111
sim586,9,6,66.66666666666666
sim587,9,8,88.88888888888889
sim588,9,7,77.77777777777779
sim589,9,8,88.88888888888889
sim590,9,8,88.88888888888889
sim591,9,2,22.22222222222222
sim592,9,8,88.88888888888889
sim593,9,7,77.77777777777779
sim594,9,4,44.44444444444444
sim595,9,8,88.88888888888889
sim596,9,4,44.44444444444444
sim597,9,5,55.55555555555556
sim598,9,7,77.77777777777779
sim599,9,7,77.77777777777779
sim600,9,8,88.88888888888889
sim601,9,4,44.44444444444444
sim602,9,2,22.22222222222222
sim603,9,5,55.55555555555556
sim604,9,9,100.0
sim605,9,7,77.77777777777779
sim606,9,7,77.77777777777779
sim607,9,2,22.22222222222222
sim608,9,4,44.44444444444444
sim609,9,5,55.55555555555556
sim610,9,9,100.0
sim611,9,3,33.33333333333333
sim612,9,3,33.33333333333333
sim613,9,7,77.77777777777779
sim614,9,4,44.44444444444444
sim615,9,8,88.88888888888889
sim616,9,5,55.55555555555556
sim617,9,8,88.88888888888889
sim618,9,6,66.66666666666666
sim619,9,4,44.44444444444444
sim620,9,8,88.88888888888889
sim621,9,8,88.88888888888889
sim622,9,2,22.22222222222222
sim623,9,7,77.77777777777779
sim624,9,9,100.0
sim625,9,8,88.88888888888889
sim626,9,9,100.0
sim627,9,7,77.77777777777779
sim628,9,3,33.33333333333333
sim629,9,8,88.88888888888889
sim630,9,3,33.33333333333333
sim631,9,5,55.55555555555556
sim632,9,5,55.55555555555556
sim633,9,5,55.55555555555556
sim634,9,4,44.44444444444444
sim635,9,0,0.0
sim636,9,8,88.88888888888889
sim637,9,1,11.11111111111111
sim638,9,5,55.55555555555556
sim639,9,7,77.77777777777779
sim640,9,8,88.88888888888889
sim641,9,5,55.55555555555556
sim642,9,3,33.33333333333333
sim643,9,3,33.33333333333333
sim644,9,8,88.88888888888889
sim645,9,9,100.0
sim646,9,4,44.44444444444444
sim647,9,8,88.88888888888889
sim648,9,7,77.77777777777779
sim649,9,8,88.88888888888889
sim650,9,7,77.77777777777779
sim651,9,1,11.11111111111111
sim652,9,5,55.55555555555556
sim653,9,4,44.44444444444444
sim654,9,5,55.55555555555556
sim655,9,4,44.44444444444444
sim656,9,7,77.77777777777779
sim657,9,4,44.44444444444444
sim658,9,7,77.77777777777779
sim659,9,4,44.44444444444444
sim660,9,8,88.88888888888889
sim661,9,3,33.33333333333333
sim662,9,2,22.22222222222222
sim663,9,8,88.88888888888889
sim664,9,8,88.88888888888889
sim665,9,8,88.88888888888889
sim666,9,8,88.88888888888889
sim667,9,3,33.33333333333333
sim668,9,8,88.88888888888889
sim669,9,3,33.33333333333333
sim670,9,3,33.33333333333333
sim671,9,4,44.44444444444444
sim672,9,5,55.55555555555556
sim673,9,3,33.33333333333333
sim674,9,7,77.77777777777779
sim675,9,6,66.66666666666666
sim676,9,3,33.33333333333333
sim677,9,8,88.88888888888889
sim678,9,9,100.0
sim679,9,6,66.66666666666666
sim680,9,8,88.88888888888889
sim681,9,9,100.0
sim682,9,5,55.55555555555556
sim683,9,7,77.77777777777779
sim684,9,6,66.66666666666666
sim685,9,8,88.88888888888889
sim686,9,2,22.22222222222222
sim687,9,3,33.33333333333333
sim688,9,4,44.44444444444444
sim689,9,8,88.88888888888889
sim690,9,2,22.22222222222222
sim691,9,4,44.44444444444444
sim692,9,9,100.0
sim693,9,8,88.88888888888889
sim694,9,8,88.88888888888889
sim695,9,3,33.33333333333333
sim696,9,8,88.88888888888889
sim697,9,5,55.55555555555556
sim698,9,2,22.22222222222222
sim699,9,8,88.88888888888889
sim700,9,3,33.33333333333333
sim701,9,5,55.55555555555556
sim702,9,3,33.33333333333333
sim703,9,6,66.66666666666666
sim704,9,5,55.55555555555556
sim705,9,7,77.77777777777779
sim706,9,7,77.77777777777779
sim707,9,6,66.66666666666666
sim708,9,8,88.88888888888889
sim709,9,4,44.44444444444444
sim710,9,5,55.55555555555556
sim711,9,6,66.66666666666666
sim712,9,2,22.22222222222222
sim713,9,5,55.55555555555556
sim714,9,8,88.88888888888889
sim715,9,7,77.77777777777779
sim716,9,8,88.88888888888889
sim717,9,2,22.22222222222222
sim718,9,7,77.77777777777779
sim719,9,8,88.88888888888889
sim720,9,1,11.11111111111111
sim721,9,8,88.88888888888889
sim722,9,5,55.55555555555556
sim723,9,8,88.88888888888889
sim724,9,8,88.88888888888889
sim725,9,5,55.55555555555556
sim726,9,6,66.66666666666666
sim727,9,8,88.88888888888889
sim728,9,5,55.55555555555556
sim729,9,8,88.88888888888889
sim730,9,8,88.88888888888889
sim731,9,8,88.88888888888889
sim732,9,3,33.33333333333333
sim733,9,6,66.66666666666666
sim734,9,3,33.33333333333333
sim735,9,8,88.88888888888889
sim736,9,8,88.88888888888889
sim737,9,2,22.22222222222222
sim738,9,8,88.88888888888889
sim739,9,4,44.44444444444444
sim740,9,8,88.88888888888889
sim741,9,8,88.88888888888889
sim742,9,8,88.88888888888889
sim743,9,8,88.88888888888889
sim744,9,8,88.88888888888889
sim745,9,8,88.88888888888889
sim746,9,8,88.88888888888889
sim747,9,8,88.88888888888889
sim748,9,4,44.44444444444444
sim749,9,3,33.33333333333333
sim750,9,8,88.88888888888889
sim751,9,3,33.33333333333333
sim752,9,5,55.55555555555556
sim753,9,4,44.44444444444444
sim754,9,8,88.88888888888889
sim755,9,8,88.88888888888889
sim756,9,2,22.22222222222222
sim757,9,8,88.88888888888889
sim758,9,8,88.88888888888889
sim759,9,8,88.88888888888889
sim760,9,5,55.55555555555556
sim761,9,2,22.22222222222222
sim762,9,5,55.55555555555556
sim763,9,8,88.88888888888889
sim764,9,1,11.11111111111111
sim765,9,7,77.77777777777779
sim766,9,6,66.66666666666666
sim767,9,3,33.33333333333333
sim768,9,6,66.66666666666666
sim769,9,8,88.88888888888889
sim770,9,4,44.44444444444444
sim771,9,8,88.88888888888889
sim772,9,4,44.44444444444444
sim773,9,4,44.44444444444444
sim774,9,7,77.77777777777779
sim775,9,7,77.77777777777779
sim776,9,8,88.88888888888889
sim777,9,2,22.22222222222222
sim778,9,4,44.44444444444444
sim779,9,4,44.44444444444444
sim780,9,2,22.22222222222222
sim781,9,8,88.88888888888889
sim782,9,8,88.88888888888889
sim783,9,7,77.77777777777779
sim784,9,8,88.88888888888889
sim785,9,7,77.77777777777779
sim786,9,5,55.55555555555556
sim787,9,8,88.88888888888889
sim788,9,2,22.22222222222222
sim789,9,8,88.88888888888889
sim790,9,5,55.55555555555556
sim791,9,8,88.88888888888889
sim792,9,4,44.44444444444444
sim793,9,5,55.55555555555556
sim794,9,4,44.44444444444444
sim795,9,8,88.88888888888889
sim796,9,2,22.22222222222222
sim797,9,8,88.88888888888889
sim798,9,8,88.88888888888889
sim799,9,9,100.0
sim800,9,8,88.88888888888889
sim801,9,8,88.88888888888889
sim802,9,8,88.88888888888889
sim803,9,4,44.44444444444444
sim804,9,8,88.88888888888889
sim805,9,2,22.22222222222222
sim806,9,8,88.88888888888889
sim807,9,4,44.44444444444444
sim808,9,7,77.77777777777779
sim809,9,3,33.33333333333333
sim810,9,6,66.66666666666666
sim811,9,2,22.22222222222222
sim812,9,8,88.88888888888889
sim813,9,8,88.88888888888889
sim814,9,9,100.0
sim815,9,8,88.88888888888889
sim816,9,4,44.44444444444444
sim817,9,8,88.88888888888889
sim818,9,8,88.88888888888889
sim819,9,7,77.77777777777779
sim820,9,5,55.55555555555556
sim821,9,6,66.66666666666666
sim822,9,7,77.77777777777779
sim823,9,5,55.55555555555556
sim824,9,2,22.22222222222222
sim825,9,7,77.77777777777779
sim826,9,2,22.22222222222222
sim827,9,6,66.66666666666666
sim828,9,8,88.88888888888889
sim829,9,2,22.22222222222222
sim830,9,3,33.33333333333333
sim831,9,8,88.88888888888889
sim832,9,8,88.88888888888889
sim833,9,7,77.77777777777779
