Simulation,Risk_Percentage
sim1,0.0
sim2,0.0
sim3,0.0
sim4,11.11111111111111
sim5,0.0
sim6,0.0
sim7,77.77777777777779
sim8,0.0
sim9,0.0
sim10,0.0
sim11,66.66666666666666
sim12,0.0
sim13,0.0
sim14,0.0
sim15,77.77777777777779
sim16,0.0
sim17,77.77777777777779
sim18,33.33333333333333
sim19,0.0
sim20,0.0
sim21,0.0
sim22,0.0
sim23,0.0
sim24,0.0
sim25,100.0
sim26,0.0
sim27,0.0
sim28,0.0
sim29,66.66666666666666
sim30,0.0
sim31,44.44444444444444
sim32,0.0
sim33,0.0
sim34,0.0
sim35,100.0
sim36,0.0
sim37,77.77777777777779
sim38,0.0
sim39,66.66666666666666
sim40,0.0
sim41,22.22222222222222
sim42,0.0
sim43,44.44444444444444
sim44,0.0
sim45,0.0
sim46,0.0
sim47,66.66666666666666
sim48,0.0
sim49,55.55555555555556
sim50,0.0
sim51,44.44444444444444
sim52,0.0
sim53,100.0
sim54,0.0
sim55,0.0
sim56,0.0
sim57,0.0
sim58,0.0
sim59,0.0
sim60,0.0
sim61,55.55555555555556
sim62,0.0
sim63,0.0
sim64,0.0
sim65,0.0
sim66,66.66666666666666
sim67,0.0
sim68,0.0
sim69,0.0
sim70,22.22222222222222
sim71,0.0
sim72,0.0
sim73,0.0
sim74,77.77777777777779
sim75,0.0
sim76,33.33333333333333
sim77,0.0
sim78,11.11111111111111
sim79,0.0
sim80,55.55555555555556
sim81,0.0
sim82,22.22222222222222
sim83,0.0
sim84,88.88888888888889
sim85,0.0
sim86,0.0
sim87,55.55555555555556
sim88,66.66666666666666
sim89,0.0
sim90,0.0
sim91,0.0
sim92,77.77777777777779
sim93,0.0
sim94,0.0
sim95,0.0
sim96,44.44444444444444
sim97,0.0
sim98,0.0
sim99,0.0
sim100,0.0
sim101,0.0
sim102,77.77777777777779
sim103,0.0
sim104,0.0
sim105,0.0
sim106,0.0
sim107,0.0
sim108,11.11111111111111
sim109,22.22222222222222
sim110,88.88888888888889
sim111,0.0
sim112,100.0
sim113,0.0
sim114,0.0
sim115,0.0
sim116,33.33333333333333
sim117,0.0
sim118,44.44444444444444
sim119,0.0
sim120,55.55555555555556
sim121,0.0
sim122,33.33333333333333
sim123,0.0
sim124,22.22222222222222
sim125,0.0
sim126,0.0
sim127,0.0
sim128,77.77777777777779
sim129,0.0
sim130,0.0
sim131,0.0
sim132,55.55555555555556
sim133,55.55555555555556
sim134,44.44444444444444
sim135,0.0
sim136,77.77777777777779
sim137,0.0
sim138,0.0
sim139,0.0
sim140,22.22222222222222
sim141,0.0
sim142,0.0
sim143,0.0
sim144,22.22222222222222
sim145,0.0
sim146,44.44444444444444
sim147,22.22222222222222
sim148,0.0
sim149,0.0
sim150,22.22222222222222
sim151,0.0
sim152,11.11111111111111
sim153,0.0
sim154,0.0
sim155,0.0
sim156,0.0
sim157,0.0
sim158,88.88888888888889
sim159,0.0
sim160,0.0
sim161,0.0
