water_year,annual_max_cms,annual_min_cms,annual_avg_cms
1989,233.1042811,1.132673864,32.87369906
1990,377.1803966,0.764554858,36.3690375
1991,559.5975224,0.679604318,53.06164479
1992,133.6555159,0.849505398,17.46516406
1993,455.9012301,1.189307557,81.48825058
1994,614.1357689,2.520199347,90.4671999
1995,704.5231432,2.350298267,51.15107612
1996,678.7831297,2.038812955,56.09151841
1997,518.877897,1.500792869,34.31022122
1998,443.4418176,1.274258097,59.87899
1999,517.6885894,1.302574943,45.97142371
2000,281.9565049,1.132673864,21.06180899
2001,351.2959671,1.953862415,49.72726007
2002,1080.004529,1.885901983,82.4139601
2003,188.0238614,1.557426563,14.80095349
2004,480.3669856,1.526278031,48.0977291
2005,801.4233922,1.384693798,61.65375961
2006,189.2131689,1.217624403,28.46730214
2007,332.0150263,0.79004002,33.09190014
2008,527.8826542,0.509703239,73.24751125
2009,506.3052171,2.630635048,75.52838914
2010,552.6032612,2.231367511,79.06701745
2011,655.2518301,2.036264438,70.71296197
2012,187.5651285,0.841010344,21.72981036
2013,803.3489378,1.233198669,64.80788005
2014,250.4540131,0.83251529,31.20988183
2015,433.587555,3.998338739,52.6860672
2016,1441.61066,1.788208862,65.63200252
2017,649.2203418,2.052971378,43.60031605
2018,398.2622889,0.947481687,44.83462334
2019,453.8057835,2.789209389,80.6164191
2020,875.0188765,2.452522083,79.43191442
2021,339.9154265,4.53154496,46.59569458
2022,490.9008525,3.936608013,64.58754162
2023,353.7227209,1.407347276,26.93168421
2024,186.9478212,1.149663972,34.5475068
2025,564.7795053,0.566336932,33.02486369
