Parameter,KS_statistic,p_value
Par1,0.05105594568681817,0.00028999466984434857
Par2,0.0596913788188956,1.1403160639253094e-05
Par3,0.038969362459295345,0.011525463685549076
Par4,0.1703985385193439,3.1757368808775956e-43
Par5,0.07895018700387828,1.3575680154864846e-09
Par6,0.037798536791825384,0.015624415398845858
Par7,0.028187055703834226,0.13381473078305353
Par8,0.04161073825503356,0.0056074811209373705
Par9,0.041469513617164624,0.0058346509434276
Par10,0.03362787523861349,0.04283999048869508
Par11,0.0465609425340969,0.0012800927387180744
Par12,0.09446287130850889,1.50293092485172e-13
Par13,0.03753120330301538,0.016726784463754387
Par14,0.0490662762474843,0.0005690434753395201
Par15,0.04502042790633395,0.0020634527371584657
Par16,0.03698357993660007,0.019204799671243354
Par17,0.03176431465022069,0.0647264667724891
Par18,0.023149611740215768,0.3202990434540871
Par19,0.05980712255880041,1.0881762541964245e-05
Par20,0.03998298394271549,0.008790389302459425
Par21,0.046221917027286154,0.001423876097455979
Par22,0.038251146640408386,0.013905804239406277
Par23,0.052992493932091246,0.0001466509377652706
Par24,0.04679804444905116,0.0011877060024980254
Par25,0.04992744422274624,0.0004264441807277652
Par26,0.04784578442296563,0.0008491287832608262
Par27,0.04599258894560908,0.001529510886105746
Par28,0.036693788707211523,0.020644456312781938
Par29,0.05616680918694342,4.5403799341606454e-05
Par30,0.05097388855778118,0.00029832765034215863
Par31,0.03800022457740578,0.014836348491579972
Par32,0.042060324946230986,0.0049371066998524825
Par33,0.03757914194155805,0.016524124685668697
Par34,0.04062648458621613,0.007374842627021307
Par35,0.02556770576904805,0.21544827267178351
Par36,0.05895459217606869,1.5327897142245154e-05
Par37,0.05130902714795332,0.00026565519396187114
Par38,0.048297530512295614,0.0007330669259018473
Par39,0.029250775223929586,0.10880686356912393
Par40,0.04512580653520251,0.001998170734112619
Par41,0.05964689521736501,1.1609808453006243e-05
Par42,0.07543727812184188,8.51140000312295e-09
Par43,0.04429659765230235,0.0025681264924742437
Par44,0.052900935451271024,0.00015154183230031262
Par45,0.03810862636365992,0.014427688608583185
Par46,0.029985834348250456,0.09388914859828762
Par47,0.023971910549091757,0.28123981681444254
Par48,0.041558480820225785,0.005690590529061109
Par49,0.04847676055729747,0.0006912786058861321
Par50,0.05763822307446469,2.576442242477309e-05
Par51,0.046492705553108235,0.0013078974319128318
Par52,0.05084432466982802,0.0003119463924992516
Par53,0.061144221882476917,6.295729679187832e-06
Par54,0.039171482124502256,0.010925444262284907
Par55,0.17515742012386307,1.1666516772472143e-45
